country,region,happiness_rank,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity
Paraguay,South America,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162
Peru,South America,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092
Kosovo,Southern Europe,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274
Moldova,Eastern Europe,67,5.64,0.657,1.301,0.62,0.232,0.0,0.171
Turkmenistan,Central Asia,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199
Hungary,Eastern Europe,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061
Libya,Northern Africa,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116
Philippines,South-Eastern Asia,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12
Honduras,Central America,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197
Belarus,Eastern Europe,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101
Turkey,Western Asia,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106
Pakistan,Southern Asia,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216
Hong Kong,Eastern Asia,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246
Portugal,Southern Europe,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055
Serbia,Southern Europe,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134
Greece,Southern Europe,79,5.358,1.154,1.202,0.879,0.131,0.044,0.0
Lebanon,Western Asia,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214
Montenegro,Southern Europe,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111
Croatia,Southern Europe,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12
Dominican Republic,Caribbean,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12
Algeria,Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055
Morocco,Northern Africa,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026
China,Eastern Asia,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029
Azerbaijan,Western Asia,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031
Tajikistan,Central Asia,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187
Macedonia,Southern Europe,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173
Jordan,Western Asia,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13
Nigeria,Western Africa,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201
Kyrgyzstan,Central Asia,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281
Bosnia and Herzegovina,Southern Europe,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216
Mongolia,Eastern Asia,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253
Vietnam,South-Eastern Asia,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177
Indonesia,South-Eastern Asia,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484
Bhutan,Southern Asia,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364
Somalia,Eastern Africa,98,4.982,0.0,0.712,0.115,0.674,0.282,0.238
Cameroon,Middle Africa,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183
Bulgaria,Eastern Europe,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064
Nepal,Southern Asia,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302
Venezuela,South America,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056
Gabon,Middle Africa,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032
Palestinian Territories,Western Asia,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086
South Africa,Southern Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103
Iran,Southern Asia,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282
Ivory Coast,Western Africa,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146
Ghana,Western Africa,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212
Senegal,Western Africa,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138
Laos,South-Eastern Asia,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23
Tunisia,Northern Africa,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04
Albania,Southern Europe,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149
Sierra Leone,Western Africa,113,4.571,0.256,0.813,0.0,0.355,0.053,0.238
Congo (Brazzaville),Middle Africa,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091
Bangladesh,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153
Sri Lanka,Southern Asia,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307
Iraq,Western Asia,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148
Mali,Western Africa,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139
Namibia,Southern Africa,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051
Cambodia,South-Eastern Asia,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256
Burkina Faso,Western Africa,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175
Egypt,Northern Africa,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092
Mozambique,Eastern Africa,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206
Kenya,Eastern Africa,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352
Zambia,Eastern Africa,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221
Mauritania,Western Africa,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134
Ethiopia,Eastern Africa,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22
Georgia,Western Asia,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038
Armenia,Western Asia,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077
Myanmar,South-Eastern Asia,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598
Chad,Middle Africa,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181
Congo (Kinshasa),Middle Africa,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197
India,Southern Asia,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172
Niger,Western Africa,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175
Uganda,Eastern Africa,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259
Benin,Western Africa,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163
Sudan,Northern Africa,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134
Ukraine,Eastern Europe,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187
Togo,Western Africa,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158
Guinea,Western Africa,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185
Lesotho,Southern Africa,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116
Angola,Middle Africa,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079
Madagascar,Eastern Africa,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155
Zimbabwe,Eastern Africa,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132
Afghanistan,Southern Asia,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191
Botswana,Southern Africa,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042
Malawi,Eastern Africa,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21
Haiti,Caribbean,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392
Liberia,Western Africa,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206
Syria,Western Asia,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376
Rwanda,Eastern Africa,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2
Yemen,Western Asia,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083
Tanzania,Eastern Africa,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27
South Sudan,Eastern Africa,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224
Central African Republic,Middle Africa,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218
Burundi,Eastern Africa,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149
